transaction_id,user_id,transaction_amount,transaction_time,transaction_type
46859,298,10.9,2024-07-23 09:16:01.307875,transport
81675,747,12.11,2024-07-08 15:43:10.945608,travel
99114,516,54.52,2024-07-17 17:09:06.538978,services
27458,631,3846.26,2024-07-18 13:41:19.643152,travel
80590,390,4561.84,2024-07-18 14:58:19.334552,entertainment
40343,929,60.82,2024-07-09 05:52:44.641843,travel
27270,141,36.28,2024-07-21 03:44:07.132682,travel
65858,231,3.49,2024-07-28 09:55:33.047493,transport
43044,893,54.64,2024-07-24 19:22:50.501633,services
6682,273,4.3,2024-07-22 13:10:46.887832,transport
48548,304,23.75,2024-07-30 12:54:08.483268,transport
39346,772,46.08,2024-07-20 18:23:23.000624,services
79513,768,5.85,2024-07-19 03:27:12.960186,transport
83172,349,15.53,2024-07-30 08:00:17.736042,entertainment
81224,637,71.35,2024-07-04 08:34:10.842163,travel
25211,592,61.25,2024-07-23 04:08:58.392460,transport
471,829,52.39,2024-07-07 09:54:29.893092,transport
92747,425,13.65,2024-07-04 20:20:03.628975,services
79957,444,78.76,2024-07-07 00:46:32.118055,transport
83788,637,56.41,2024-07-20 13:17:19.070679,health
76042,80,73.66,2024-07-11 03:17:56.746846,transport
99906,251,86.02,2024-07-12 01:14:49.555669,health
88241,200,36.08,2024-07-28 10:09:10.997548,services
31093,86,2.26,2024-07-30 05:56:31.490287,
8066,586,48.33,2024-07-04 21:40:03.788764,health
14345,624,84.06,2024-07-30 07:16:19.531181,travel
16511,256,74.22,2024-07-27 08:58:55.333590,travel
91222,900,-30.08,2024-07-17 18:17:56.203445,
13467,146,59.43,2024-07-17 03:54:11.379325,travel
10383,285,30.46,2024-07-02 09:45:48.645849,travel
48473,84,95.17,2024-07-30 03:17:38.348643,health
58921,437,96.53,2024-07-05 11:36:28.764906,transport
83903,9,24.06,2024-07-04 20:18:05.217030,entertainment
38709,700,18.19,2024-07-19 04:24:48.208564,health
58699,925,71.62,2024-07-09 08:21:56.898076,services
98652,635,63.45,2024-07-29 06:50:46.901515,health
44720,311,60.0,2024-07-23 08:44:45.521966,entertainment
66549,571,25.93,2024-07-13 20:27:19.290673,health
57103,796,82.69,2024-07-24 21:13:12.535352,transport
97995,18,-62.92,2024-07-29 19:07:12.554480,travel
90468,756,65.31,2024-07-31 11:27:49.744224,transport
99065,577,42.61,2024-07-29 04:43:41.681416,health
46488,374,4.12,2024-07-19 22:16:40.408360,
90254,18,-3.75,2024-07-29 03:20:18.808239,entertainment
24576,876,83.86,2024-07-22 22:09:28.436270,health
46238,58,66.55,2024-07-18 18:36:56.971142,services
26453,326,67.94,2024-07-09 18:10:44.706038,services
9169,941,1011.7,2024-07-07 14:23:13.453987,services
71902,735,12.8,2024-07-19 18:13:52.804247,
23390,334,28.47,2024-07-17 21:16:34.354093,transport
25409,47,96.11,2024-07-21 13:11:36.512809,
38260,223,21.38,2024-07-19 12:25:44.241358,travel
71546,12,43.03,2024-07-25 05:00:14.126469,entertainment
6111,190,2869.43,2024-07-18 19:43:49.903404,travel
24249,540,90.32,2024-07-18 11:28:50.180878,transport
33153,960,81.09,2024-07-26 12:49:31.199317,travel
56380,252,44.74,2024-07-17 19:10:11.440392,travel
5234,273,23.68,2024-07-20 02:18:03.560567,travel
50028,345,82.1,2024-07-13 18:15:27.694283,travel
32069,643,44.56,2024-07-10 16:52:31.189075,health
21550,158,-32.51,2024-07-14 07:10:04.560613,transport
46057,93,89.08,2024-07-14 00:12:43.275256,health
8659,477,5.16,2024-07-04 00:09:42.577183,
13359,391,33.36,2024-07-13 04:27:00.254218,travel
17797,141,96.33,2024-07-20 05:11:10.420507,health
16560,396,5165.25,2024-07-09 14:04:23.137543,transport
9927,905,7.3,2024-07-05 14:16:13.475887,health
15123,344,34.08,2024-07-08 07:25:12.381588,services
79575,240,1.48,2024-07-24 08:56:51.904557,transport
97229,307,14.73,2024-07-11 14:08:25.099405,health
24213,14,41.25,2024-07-10 23:44:52.590148,transport
57824,258,90.37,2024-07-03 19:14:07.586181,
23425,974,74.12,2024-07-08 03:18:53.055171,entertainment
29281,319,1.05,2024-07-13 09:30:43.265271,services
22788,804,73.08,2024-07-07 11:02:43.773800,health
69896,802,79.53,2024-07-20 16:55:55.223522,transport
22333,278,83.43,2024-07-25 00:07:22.889029,travel
45274,424,31.36,2024-07-18 23:20:03.939738,entertainment
17328,105,6381.28,2024-07-08 00:08:33.635439,travel
44135,218,60.62,2024-07-24 18:54:25.324488,transport
29288,898,42.58,2024-07-28 11:33:59.739970,entertainment
95080,209,40.93,2024-07-28 04:24:33.564148,services
89757,869,21.97,2024-07-11 13:09:21.487134,entertainment
43989,8,86.8,2024-07-31 07:39:04.544957,transport
68464,398,6828.34,2024-07-25 00:45:50.098342,health
67295,959,52.47,2024-07-13 21:40:36.229121,transport
14100,863,6.6,2024-07-03 17:56:44.967153,entertainment
75696,630,-41.67,2024-07-18 06:14:04.423133,entertainment
80923,997,54.96,2024-07-28 01:34:51.452956,travel
72437,48,54.95,2024-07-16 04:22:26.998474,services
76692,530,38.63,2024-07-16 04:12:53.421274,transport
3968,305,12.76,2024-07-01 03:41:52.331713,travel
44929,785,81.46,2024-07-25 10:19:39.764786,travel
72465,836,1833.65,2024-07-21 06:55:33.016792,travel
68994,415,80.34,2024-07-20 09:52:50.579964,services
55734,25,19.47,2024-07-08 05:19:04.012976,health
68184,966,37.0,2024-07-23 23:50:07.531784,services
63019,355,81.11,2024-07-25 05:55:16.454052,services
83609,432,96.37,2024-07-27 20:17:34.474482,entertainment
36792,663,92.61,2024-07-04 01:44:01.176727,health
77071,914,-94.25,2024-07-29 17:15:26.413542,travel
18316,49,52.73,2024-07-10 01:32:11.028876,services
32304,330,32.85,2024-07-08 08:12:08.849837,
85252,369,11.28,2024-07-30 07:43:57.562978,entertainment
35754,355,75.51,2024-07-28 01:30:54.777545,health
46416,231,12.09,2024-07-04 08:26:34.944682,travel
28194,760,15.14,2024-07-13 13:47:52.737504,services
9804,426,90.91,2024-07-02 20:30:51.201675,health
3757,988,23.15,2024-07-21 06:08:37.493239,health
79783,901,65.55,2024-07-06 15:28:11.509450,transport
17667,253,95.47,2024-07-02 04:29:54.973416,travel
93862,326,55.76,2024-07-31 18:03:33.666976,health
72169,630,57.46,2024-07-23 11:59:22.685105,services
22512,301,43.36,2024-07-17 17:09:46.628375,health
68026,554,26.55,2024-07-13 19:02:41.722747,services
68855,904,53.3,2024-07-27 11:45:16.282777,travel
48392,687,39.33,2024-07-19 10:11:50.940941,health
26002,779,6824.35,2024-07-25 01:13:33.981518,travel
17623,254,7.57,2024-07-22 09:21:17.091338,transport
65037,75,34.99,2024-07-16 22:40:41.713855,entertainment
4881,499,23.5,2024-07-24 03:01:56.003257,travel
30030,239,6778.06,2024-07-11 14:23:31.113138,travel
10301,44,48.71,2024-07-13 20:36:42.058731,transport
92906,228,42.77,2024-07-09 17:41:08.269022,transport
64273,643,98.46,2024-07-18 14:59:25.977571,travel
65648,972,89.42,2024-07-21 02:34:51.098107,transport
42828,903,1.48,2024-07-31 11:54:43.296859,health
83761,764,58.7,2024-07-04 19:19:02.140145,entertainment
90925,970,37.06,2024-07-02 17:21:43.772230,services
22693,672,-93.41,2024-07-21 11:03:43.887192,health
87295,152,98.8,2024-07-31 15:07:40.636720,transport
21837,494,45.85,2024-07-05 01:17:23.605784,
72381,407,5.4,2024-07-23 08:54:18.790282,entertainment
8472,65,20.35,2024-07-15 00:59:17.076849,services
65201,102,-13.9,2024-07-11 02:07:57.002955,services
14152,583,17.81,2024-07-05 16:51:33.265750,travel
53485,951,77.56,2024-07-31 19:20:28.465400,transport
33987,598,92.14,2024-07-21 21:31:49.992107,travel
63153,499,66.2,2024-07-01 10:41:37.630483,health
67428,291,65.09,2024-07-20 11:12:08.102068,health
75532,905,93.2,2024-07-02 09:35:08.094307,services
30466,744,80.33,2024-07-22 07:10:56.423640,
10632,805,16.46,2024-07-30 06:56:20.728674,entertainment
88648,770,32.4,2024-07-14 21:50:07.723104,entertainment
31307,188,87.0,2024-07-04 21:46:14.889585,transport
39705,655,6.18,2024-07-20 18:54:19.656523,services
1724,908,-42.74,2024-07-09 23:13:20.166748,services
86644,708,4.96,2024-07-10 12:27:50.631106,health
75176,720,91.66,2024-07-20 00:12:15.611956,services
1207,669,11.14,2024-07-04 21:16:01.866925,transport
95060,629,49.37,2024-07-20 13:44:57.080842,
44258,937,45.83,2024-07-15 23:12:42.315392,travel
11923,73,24.31,2024-07-30 22:05:15.845816,transport
87471,712,95.05,2024-07-08 01:05:05.088679,entertainment
7052,167,77.46,2024-07-14 08:58:05.554027,services
74040,85,10.47,2024-07-05 21:19:55.065899,travel
32066,440,66.48,2024-07-21 19:15:31.746538,services
9928,631,4.13,2024-07-03 19:42:24.068376,services
7808,734,68.73,2024-07-16 08:38:09.122941,transport
59686,316,65.6,2024-07-04 10:30:38.323602,transport
61301,807,87.26,2024-07-23 22:25:07.084945,health
62890,711,96.41,2024-07-09 11:35:03.649185,health
42423,456,63.37,2024-07-27 17:04:35.842778,health
48844,519,39.69,2024-07-19 16:28:40.922313,travel
15065,228,50.18,2024-07-26 16:11:43.912847,services
87008,312,-99.12,2024-07-18 13:00:01.970794,
92597,636,27.13,2024-07-06 07:45:30.734135,entertainment
54670,742,61.44,2024-07-06 02:13:09.850977,transport
45332,275,57.33,2024-07-29 14:55:19.030810,entertainment
23069,785,27.5,2024-07-29 13:53:52.235141,services
97189,694,59.13,2024-07-02 16:08:32.755822,travel
79132,745,34.05,2024-07-28 21:04:35.093207,entertainment
65534,163,84.29,2024-07-15 02:13:43.496124,
30255,862,98.71,2024-07-25 14:49:10.565958,health
11113,35,73.57,2024-07-24 04:13:38.777930,travel
22633,259,43.26,2024-07-11 00:12:54.545100,travel
93824,842,12.99,2024-07-16 07:02:28.637765,entertainment
64134,109,16.01,2024-07-15 05:34:43.072188,travel
40225,330,4441.49,2024-07-12 19:16:45.085003,health
40916,196,76.3,2024-07-29 03:29:11.733836,travel
62858,488,97.3,2024-07-14 09:44:42.033231,travel
38441,512,54.08,2024-07-21 21:37:15.086370,transport
6735,247,90.82,2024-07-07 06:27:01.876066,travel
17420,10,-59.9,2024-07-31 19:43:08.550268,health
82837,951,27.44,2024-07-20 04:43:16.579666,transport
43456,782,1.3,2024-07-12 09:43:12.512043,health
34453,992,40.76,2024-07-09 17:59:56.231716,transport
46085,28,56.08,2024-07-17 20:39:12.383535,entertainment
68983,576,60.0,2024-07-22 22:55:40.320533,travel
37417,43,-62.67,2024-07-12 17:56:03.487294,health
70648,12,61.11,2024-07-16 19:45:51.964575,entertainment
98030,612,24.39,2024-07-21 00:51:03.550382,transport
62175,843,20.97,2024-07-29 01:46:22.566232,health
11951,251,65.81,2024-07-01 08:25:18.319749,health
47210,199,40.24,2024-07-19 07:13:16.750031,health
63801,549,35.25,2024-07-18 16:23:22.054077,transport
76278,672,78.97,2024-07-11 04:04:39.717728,travel
76090,601,26.47,2024-07-02 00:25:05.965064,health
94963,683,78.34,2024-07-05 19:39:43.704374,travel
76321,86,33.41,2024-07-21 21:32:07.111275,entertainment
93980,627,-84.6,2024-07-10 00:19:45.905418,health
86792,954,8.71,2024-07-27 02:53:37.592183,health
58716,825,7198.43,2024-07-20 15:54:19.796049,travel
67865,917,93.52,2024-07-13 03:13:22.109048,travel
18954,26,24.53,2024-07-20 07:56:43.083713,transport
67713,322,5030.7,2024-07-17 04:36:21.173083,transport
92933,866,56.97,2024-07-02 00:16:10.624219,services
86962,876,25.2,2024-07-27 04:35:03.257861,health
96869,405,87.78,2024-07-31 13:11:03.302471,services
64911,815,-11.08,2024-07-07 00:32:23.786430,health
41153,653,81.39,2024-07-08 01:19:09.017725,transport
82668,131,73.04,2024-07-30 16:52:14.786907,health
10752,418,17.77,2024-07-18 07:55:36.838265,travel
46651,891,60.45,2024-07-31 05:52:34.769098,entertainment
61540,837,51.38,2024-07-28 07:43:31.589139,transport
56088,926,58.88,2024-07-29 03:02:16.946144,travel
83991,159,98.09,2024-07-17 09:14:35.964401,services
63415,812,33.77,2024-07-04 12:16:13.259349,services
91305,2,13.06,2024-07-16 14:38:31.505602,travel
45852,720,84.17,2024-07-14 01:20:16.439034,health
32552,998,56.8,2024-07-21 07:54:12.773534,health
29265,670,48.65,2024-07-21 04:12:16.625868,travel
6584,702,-42.26,2024-07-11 03:36:34.408856,health
97409,997,8540.94,2024-07-11 06:44:35.103015,services
84753,444,10.81,2024-07-16 17:50:06.379795,travel
19116,34,15.85,2024-07-03 22:39:44.841957,services
95673,815,93.29,2024-07-21 21:28:03.580024,health
18862,750,86.57,2024-07-24 02:19:25.794493,transport
77156,532,24.48,2024-07-26 23:00:23.184925,health
81402,254,30.77,2024-07-04 15:22:57.498933,services
33020,693,39.95,2024-07-27 17:22:18.566908,entertainment
12343,86,5102.21,2024-07-08 11:00:23.818022,health
97287,957,49.7,2024-07-29 15:12:46.826592,health
53811,630,54.97,2024-07-14 04:01:49.243103,entertainment
